,Time,Notifier,H,M,R,S_Location,Special,Domain,OS,View
0,2019-09-30,crash-d4rk-h4cker,H,0,0,Netherlands,0,www.midgetgolfalmere.nl,Linux,mirror
1,2019-09-30,Mister Spy,0,0,1,Netherlands,0,kreatievekringwestervoort.nl//...,Linux,mirror
2,2019-09-30,Mister Spy,0,0,1,Netherlands,0,kupnodomu.nl///images/def.txt,Linux,mirror
3,2019-09-30,Mister Spy,0,M,1,Netherlands,0,hveland.nl//images/def.txt,Linux,mirror
4,2019-09-30,Mister Spy,0,0,1,Netherlands,0,inekevanbeersum.nl//images/def...,Linux,mirror
5,2019-09-30,Mister Spy,0,0,1,Netherlands,0,hvehumsterland.nl//images/def.txt,Linux,mirror
6,2019-09-29,Html404,0,0,0,Netherlands,0,www.sniglet.nl/readme.html,Linux,mirror
7,2019-09-29,Html404,0,M,0,Netherlands,0,doow.nl/readme.html,Linux,mirror
8,2019-09-29,Html404,0,0,0,Netherlands,0,friese-stabij.nl/readme.html,Linux,mirror
9,2019-09-29,Simsimi,0,0,0,Netherlands,0,dijverhof-ei.nl/galau.html,Linux,mirror
10,2019-09-29,./ExCaKun,0,0,0,Netherlands,0,aroelofs.nl/ExCaKun.html,Linux,mirror
11,2019-09-27,Astra,0,0,0,Netherlands,0,www.bouwbedrijfboesten.nl/lol.htm,Linux,mirror
12,2019-09-26,./Mr403Forbidden,0,0,0,Netherlands,0,www.antroposofiekind.nl/LiL.html,Linux,mirror
13,2019-09-25,Simsimi,0,0,0,Netherlands,0,www.webace.nl/google517c0c810e...,Linux,mirror
14,2019-09-25,MR.Donut's,0,0,0,Netherlands,0,repkon.nl/ohayou.php,Linux,mirror
15,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.pkwolters.nl/why.html,Win 2016,mirror
16,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.obsjaarfke.nl/why.html,Win 2016,mirror
17,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.vspg.nl/why.html,Win 2016,mirror
18,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.dehoeksteen.nl/why.html,Win 2016,mirror
19,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.fiduciaschool.nl/why.html,Win 2016,mirror
20,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.school59.nl/why.html,Win 2016,mirror
21,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.obsletterwies.nl/why.html,Win 2016,mirror
22,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.nassauschool.nl/why.html,Win 2016,mirror
23,2019-09-23,Explosion Squad Cyber,0,M,1,Netherlands,0,www.sbodelta.nl/why.html,Win 2016,mirror
24,2019-09-23,Poisonus Virus,0,M,0,Netherlands,0,seodoejezelf.nl/poison.php.html,Linux,mirror
25,2019-09-23,Poisonus Virus,0,M,0,Netherlands,0,recepten-company.nl/poison.php...,Linux,mirror
26,2019-09-23,Poisonus Virus,0,M,0,Netherlands,0,betonbaasjes.nl/poison.php.html,Linux,mirror
27,2019-09-23,Poisonus Virus,0,0,0,Netherlands,0,www.amerikaanse-bulldog.nl/poi...,Linux,mirror
28,2019-09-23,./Mr403Forbidden,0,0,0,Netherlands,0,youecho.nl/LiL.html,Linux,mirror
29,2019-09-22,ifactoryx,0,M,0,United States,0,www.mijn-ip.nl/rx.html,Win 2016,mirror
30,2019-09-22,ifactoryx,0,M,0,United States,0,www.sylvestree.nl/rx.html,Win 2016,mirror
31,2019-09-22,ifactoryx,0,M,0,United States,0,www.supercompare.nl/rx.html,Unknown,mirror
32,2019-09-22,ifactoryx,0,M,0,United States,0,afsnl.nl/rx.html,Win 2016,mirror
33,2019-09-22,0x,0,0,0,Netherlands,0,www.reanimatiedrechtsteden.nl/...,Linux,mirror
34,2019-09-22,0x,0,0,0,Netherlands,0,trimsalonstabilis.nl/0x.html,Linux,mirror
35,2019-09-22,Explosion Squad Cyber,0,0,0,United States,0,kabaddinederland.nl/esc.html,Linux,mirror
36,2019-09-21,ifactoryx,0,M,0,United States,0,bestellingplaatsen.nl/rx.html,Win 2016,mirror
37,2019-09-21,ifactoryx,0,M,0,United States,0,geertsbouw.nl/rx.html,Win 2012,mirror
38,2019-09-21,ifactoryx,0,M,0,United States,0,vfkl.nl/rx.html,Win 2012,mirror
39,2019-09-20,xNot_RespondinGx,0,0,1,Netherlands,0,jeugdbrandweerveenendaal.nl/zz...,Linux,mirror
40,2019-09-20,mr.anderson,0,0,0,Netherlands,0,altenakoelservice.nl/root.php,Linux,mirror
41,2019-09-19,Crazy Killer,H,M,0,United States,0,bartdenteneer.nl,Linux,mirror
42,2019-09-18,Bla3k_D3vil,0,M,0,Netherlands,0,renkema-flapper.nl/devil.html,Linux,mirror
43,2019-09-18,Bla3k_D3vil,H,M,0,Netherlands,0,www.stichtinglivius.nl,Linux,mirror
44,2019-09-18,Bla3k_D3vil,0,M,0,Netherlands,0,huitemabeheer.nl/devil.html,Linux,mirror
45,2019-09-18,UnM@SK,0,M,0,Netherlands,0,www.7berg.nl/wp-content/ex.txt,Linux,mirror
46,2019-09-18,UnM@SK,0,M,0,Netherlands,0,www.topokaartnederland.nl/open...,Linux,mirror
47,2019-09-18,Crazy Killer,H,M,0,United States,0,12101.nl,Linux,mirror
48,2019-09-17,UnM@SK,H,M,0,Netherlands,0,www.healthcareforexpats.nl,Linux,mirror
49,2019-09-17,UnM@SK,0,M,0,Netherlands,0,www.broekemanielsen.nl/ex.txt,Linux,mirror
50,2019-09-17,UnM@SK,0,M,0,Netherlands,0,biomcn.nl/ex.txt,Linux,mirror
51,2019-09-17,UnM@SK,0,M,0,Netherlands,0,bio-mcn.nl/ex.txt,Linux,mirror
52,2019-09-17,Bla3k_D3vil,H,M,0,Netherlands,0,ventumconsult.nl,Linux,mirror
53,2019-09-17,Bla3k_D3vil,0,0,0,Netherlands,0,www.geluksadviseur.nl/devil.html,Linux,mirror
